redpanda_metric_name,datadog_metric_name,metric_type,interval,unit_name,per_unit_name,description,orientation,integration,short_name,curated_metric
redpanda_iceberg_rest_client_num_load_table_requests,redpanda.iceberg.rest_client_num_load_table_requests,count,,,,Number of requests sent to the load_table endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_load_table_requests_failed,redpanda.iceberg.rest_client_num_load_table_requests_failed,count,,,,Number of requests sent to the load_table endpoint that failed.,,redpanda,,
redpanda_iceberg_rest_client_num_oauth_token_requests,redpanda.iceberg.rest_client_num_oauth_token_requests,count,,,,Number of requests sent to the oauth_token endpoint.,,redpanda,,
redpanda_iceberg_rest_client_num_oauth_token_requests_failed,redpanda.iceberg.rest_client_num_oauth_token_requests_failed,count,,,,Number of requests sent to the oauth_token endpoint that failed.,,redpanda,,
redpanda_iceberg_rest_client_num_request_timeouts,redpanda.iceberg.rest_client_num_request_timeouts,count,,,,Total number of catalog requests that could no longer be retried because they timed out. This may occur if the catalog is not responding.,,redpanda,,
redpanda_iceberg_rest_client_num_transport_errors,redpanda.iceberg.rest_client_num_transport_errors,count,,,,Total number of transport errors (TCP and TLS).,,redpanda,,
redpanda_iceberg_rest_client_total_gets,redpanda.iceberg.rest_client_total_gets,count,,,,Number of completed GET requests.,,redpanda,,
redpanda_iceberg_rest_client_total_inbound_bytes,redpanda.iceberg.rest_client_total_inbound_bytes,count,,,,Total number of bytes received from the Iceberg REST catalog.,,redpanda,,
redpanda_iceberg_rest_client_total_outbound_bytes,redpanda.iceberg.rest_client_total_outbound_bytes,count,,,,Total number of bytes sent to the Iceberg REST catalog.,,redpanda,,
redpanda_iceberg_rest_client_total_puts,redpanda.iceberg.rest_client_total_puts,count,,,,Number of completed PUT requests.,,redpanda,,
redpanda_iceberg_rest_client_total_requests,redpanda.iceberg.rest_client_total_requests,count,,,,Number of completed HTTP requests (includes PUT and GET).,,redpanda,,
redpanda_iceberg_translation_decompressed_bytes_processed,redpanda.iceberg.translation_decompressed_bytes_processed,count,,,,"Number of bytes consumed post-decompression for processing that may or may not succeed in being processed. For example, if Redpanda fails to communicate with the coordinator preventing processing of a batch, this metric still increases.",,redpanda,,
redpanda_iceberg_translation_dlq_files_created,redpanda.iceberg.translation_dlq_files_created,count,,,,Number of created Parquet files for the dead letter queue (DLQ) table.,,redpanda,,
redpanda_iceberg_translation_files_created,redpanda.iceberg.translation_files_created,count,,,,Number of created Parquet files (not counting the DLQ table).,,redpanda,,
redpanda_iceberg_translation_invalid_records,redpanda.iceberg.translation_invalid_records,count,,,,Number of invalid records handled by translation.,,redpanda,,
redpanda_iceberg_translation_parquet_bytes_added,redpanda.iceberg.translation_parquet_bytes_added,count,,,,Number of bytes in created Parquet files (not counting the DLQ table).,,redpanda,,
redpanda_iceberg_translation_parquet_rows_added,redpanda.iceberg.translation_parquet_rows_added,count,,,,Number of rows in created Parquet files (not counting the DLQ table).,,redpanda,,
